Reference,ID64,System Name,Mod(8),Mass Code,Body,Ruin Index,Site Type,EDx,EDy,EDz,Surface Lattitude,Surface Longitude,Active Monolith Count,Region,Primary Star Type,Star Subtype,Luminosity,Spectral Class,Absolute Magnitude,Age,Surface Temperature,Number of Stars,Body Count,Body Name,Body ID64,Body ID,Body Type,Body Subtype,Tidally Locked,Distance to Arrival,Rotational Period,Semi Major Axis,Arg of Periapsis,Axial Tilt,Orbital Eccentricity,Orbital Inclination,Orbital Period (Days),Orbital Syncronicity,Parent ID,Parent Type,Parent Subtype,Body Radius,Earth Masses,Surface Temperature (K),Gravity,Body Ice (%),Body Metal (%),Body Rock (%),Volcanism,Atmosphere,Surface Pressure (Atmospheres),Terraforming State,Materials
GR001,3515254557027,Synuefe XR-H d11-102,3,d,1 b,1,β,357.34375,-49.34375,-74.75,-31.7889,-128.9415,11,Inner Orion Spur,Star,F (White) Star,Vb,F3,3.468063,3600,6914,3,30,Synuefe XR-H d11-102 1 b,468377876501088611,13,Planet,Rocky body,FALSE,790.201428,-6.915672805,0.01786871005,6.669092,-1.656497,0.000494,-0.434872,6.915614009,13.83128681,360291485444196707,Star,Y (Brown dwarf) Star,1121.557875,0.004118,299.691406,0.1330589375,0,9.5355,90.4645,,No atmosphere,0,Not terraformable,"Arsenic: 2.500295%, Cadmium: 1.532772%, Carbon: 15.913092%, Germanium: 5.590829%, Iron: 19.73835%, Manganese: 8.151737%, Nickel: 14.929262%, Phosphorus: 10.187834%, Sulphur: 18.92396%, Tellurium: 1.448036%, Tungsten: 1.083834%"
GR002,9474831951257,IC 2391 Sector GW-V b2-4,1,b,B 1,1,β,587.9375,-51.03125,-38.53125,-29.1651,-30.5076,11,Inner Orion Spur,Star,M (Red dwarf) Star,Va,M5,9.443909,3334,2730,4,26,IC 2391 Sector GW-V b2-4 B 1,540441430116410777,15,Planet,High metal content world,TRUE,3279.174588,22.68258903,0.08516757186,156.028121,1.017177,0.000057,0.152069,22.68257861,1.04E-05,144124662907807129,Star,L (Brown dwarf) Star,1754.819875,0.019561,221.964264,0.2581673295,0,33.6127,66.3873,,No atmosphere,0,Not terraformable,"Carbon: 12.85229%, Chromium: 9.815071%, Iron: 21.824209%, Manganese: 9.013175%, Molybdenum: 1.425108%, Nickel: 16.506918%, Niobium: 1.491568%, Phosphorus: 8.228256%, Selenium: 2.392081%, Sulphur: 15.284036%, Tellurium: 1.167292%"
GR003,3480928373091,IC 2391 Sector ZE-A d101,3,d,C 3,1,α,526.5,-86.375,-37.9375,29.4585,-59.5254,14,Inner Orion Spur,Star,F (White) Star,Vb,F9,4.4664,1680,6081,3,38,IC 2391 Sector ZE-A d101 C 3,1188953782554184035,33,Planet,High metal content world,TRUE,338662.1704,7.453341245,0.04041077126,321.519329,0.734735,0.00448,0.022454,7.505649011,0.05230776552,144118669004228963,Star,L (Brown dwarf) Star,1504.65575,0.012218,300.084015,0.2193265015,0,33.6588,66.3412,,No atmosphere,0,Not terraformable,"Carbon: 12.631005%, Chromium: 9.521257%, Iron: 21.170902%, Manganese: 8.743367%, Mercury: 0.924498%, Molybdenum: 1.382448%, Nickel: 16.012783%, Phosphorus: 8.086586%, Ruthenium: 1.307438%, Sulphur: 15.02088%, Vanadium: 5.198837%"
GR004,4757716439746,Synuefe XO-P c22-17,2,c,C 1,1,β,546.90625,-56.46875,-97.8125,19.5265,-141.7810,12,Inner Orion Spur,Star,K (Yellow-Orange) Star,Va,K9,7.677536,2060,3795,4,38,Synuefe XO-P c22-17 C 1,432350321944007362,12,Planet,High metal content world,TRUE,1405.517264,6.43575571,0.03076247949,353.467679,-0.347764,0.001164,0.024493,6.435735772,1.99E-05,180148742811259586,Star,L (Brown dwarf) Star,1812.573375,0.021549,244.809494,0.2665696951,0,33.3029,66.6971,No volcanism,No atmosphere,0,Not terraformable,"Cadmium: 1.640268%, Carbon: 12.48873%, Chromium: 9.499548%, Iron: 21.122629%, Manganese: 8.723431%, Molybdenum: 1.379295%, Nickel: 15.976273%, Phosphorus: 7.9955%, Sulphur: 14.851686%, Tellurium: 1.135662%, Vanadium: 5.186983%"
GR005,4099470772571,Synuefe ZL-J d10-119,3,d,9 b,1,α,834.21875,-51.21875,-154.65625,-23.3812,178.9100,19,Inner Orion Spur,Star,F (White) Star,VI,F9,4.949051,412,6063,2,49,Synuefe ZL-J d10-119 9 b,1008810416001763675,28,Planet,Rocky body,TRUE,1070.654411,2.942806027,0.007238972395,148.283503,0.417828,0.012392,0.066521,2.942772513,3.35E-05,900724024944871771,Planet,Class III gas giant,1299.617375,0.006411,230.213287,0.1542677679,0,8.8591,91.1409,,No atmosphere,0,Not terraformable,"Cadmium: 1.446899%, Carbon: 15.369924%, Chromium: 8.379659%, Iron: 18.632507%, Manganese: 7.695035%, Nickel: 14.092848%, Phosphorus: 9.840089%, Sulphur: 18.278023%, Technetium: 0.66641%, Tungsten: 1.023112%, Vanadium: 4.575496%"
GR006,1625603164499,Col 173 Sector KY-Q d5-47,3,d,8 c,2,β,1043.875,-100.75,-246.0625,16.2742,18.0985,10,Inner Orion Spur,Star,F (White) Star,VI,F4,3.90686,1158,6858,3,66,Col 173 Sector KY-Q d5-47 8 c,864692754058299731,24,Planet,Rocky body,TRUE,1012.088556,8.511092788,0.009891221609,53.096934,0.154195,0.002161,0.648771,8.510914252,0.0001785363657,684548768963479891,Planet,Class III gas giant,1242.327625,0.005594,229.683426,0.1473020292,0,8.9543,91.0457,No volcanism,No atmosphere,0,Not terraformable,"Arsenic: 2.620529%, Carbon: 16.702253%, Germanium: 5.859681%, Iron: 20.343878%, Mercury: 0.888384%, Nickel: 15.387255%, Niobium: 1.390396%, Phosphorus: 10.693069%, Ruthenium: 1.256364%, Sulphur: 19.862438%, Vanadium: 4.995748%"
GR007,1625603164499,Col 173 Sector KY-Q d5-47,3,d,8 c,1,α,1043.875,-100.75,-246.0625,46.1002,-171.3259,23,Inner Orion Spur,Star,F (White) Star,VI,F4,3.90686,1158,6858,3,66,Col 173 Sector KY-Q d5-47 8 c,864692754058299731,24,Planet,Rocky body,TRUE,1012.088556,8.511092788,0.009891221609,53.096934,0.154195,0.002161,0.648771,8.510914252,0.0001785363657,684548768963479891,Planet,Class III gas giant,1242.327625,0.005594,229.683426,0.1473020292,0,8.9543,91.0457,No volcanism,No atmosphere,0,Not terraformable,"Arsenic: 2.620529%, Carbon: 16.702253%, Germanium: 5.859681%, Iron: 20.343878%, Mercury: 0.888384%, Nickel: 15.387255%, Niobium: 1.390396%, Phosphorus: 10.693069%, Ruthenium: 1.256364%, Sulphur: 19.862438%, Vanadium: 4.995748%"
GR008,8219259477,HIP 39768,5,f,A 14 f,1,β,866.59375,-119.125,-109.03125,7.0672,170.2069,9,Inner Orion Spur,Star,B (Blue-White) Star,IV,B8,0.600967,756,32812,15,61,HIP 39768 A 14 f,1729382265129529941,48,Planet,Rocky body,TRUE,6993.945634,70.80025737,0.1827582433,28.946663,-0.512051,0.001446,0.224701,70.8001783,7.91E-05,1441151888977818197,Star,L (Brown dwarf) Star,1645.258375,0.013158,283.999634,0.1975590904,0,8.8639,91.1361,,No atmosphere,0,Not terraformable,"Carbon: 16.539968%, Germanium: 5.837109%, Iron: 20.066315%, Mercury: 0.876263%, Nickel: 15.177319%, Phosphorus: 10.589172%, Selenium: 3.078435%, Sulphur: 19.669447%, Tellurium: 1.511823%, Tin: 1.200878%, Zinc: 5.453273%"
GR009,682228131193,Synuefe TP-F b44-0,1,b,CD 1,3,γ,838.75,-197.84375,-111.84375,59.3320,15.1053,32,Inner Orion Spur,Star,M (Red dwarf) Star,Va,M5,9.800812,3828,2734,4,24,Synuefe TP-F b44-0 CD 1,576461434531554681,16,Planet,High metal content world,TRUE,1225.668747,0.5927261617,1.91E-05,136.068283,-0.191993,0.120065,7.852005,0.3643482096,0.2283779522,540432637512590713,Null,,1952.435125,0.026948,295.305176,0.2873093709,0,32.7177,67.2824,Major Silicate Vapour Geysers,No atmosphere,0,Not terraformable,"Cadmium: 1.705022%, Carbon: 13.15711%, Germanium: 4.613124%, Iron: 21.956501%, Manganese: 9.067811%, Nickel: 16.606977%, Niobium: 1.50061%, Phosphorus: 8.423407%, Ruthenium: 1.355954%, Sulphur: 15.646527%, Zinc: 5.966955%"
GR010,682228131193,Synuefe TP-F b44-0,1,b,CD 1,2,β,838.75,-197.84375,-111.84375,31.9502,-99.9689,13,Inner Orion Spur,Star,M (Red dwarf) Star,Va,M5,9.800812,3828,2734,4,24,Synuefe TP-F b44-0 CD 1,576461434531554681,16,Planet,High metal content world,TRUE,1225.668747,0.5927261617,1.91E-05,136.068283,-0.191993,0.120065,7.852005,0.3643482096,0.2283779522,540432637512590713,Null,,1952.435125,0.026948,295.305176,0.2873093709,0,32.7177,67.2824,Major Silicate Vapour Geysers,No atmosphere,0,Not terraformable,"Cadmium: 1.705022%, Carbon: 13.15711%, Germanium: 4.613124%, Iron: 21.956501%, Manganese: 9.067811%, Nickel: 16.606977%, Niobium: 1.50061%, Phosphorus: 8.423407%, Ruthenium: 1.355954%, Sulphur: 15.646527%, Zinc: 5.966955%"
