Sequence,Signal Type,Time (s),Frequency (Hz),Correlation Value
0,D,9.59,7867,0.79
0,A,11.64,6822,1.01
0,B,14.93,6774,0.99
0,D,16.4,7891,0.85
0,C,18.66,6846,1.01
0,D,20.14,7771,0.9
0,A,22.38,6726,0.99
0,F,25.68,10054,0.68
0,E,26.83,7531,0.6
0,F,28.37,10006,0.79
0,C,29.47,6726,0.99
0,A,31.22,6846,1.01
0,G,34.48,7411,0.9
0,B,36.68,6846,1.01
0,G,38.58,7531,0.62
0,C,40.92,6798,1.0
0,D,42.41,7867,0.8
0,G,44.49,7579,0.55
0,E,46.71,7603,0.69
0,F,48.08,9861,0.79
0,C,49.12,6750,0.99
0,E,50.91,7555,0.61
0,F,52.4,9909,0.89
0,E,53.62,7771,0.9
0,F,55.04,9837,0.93
0,E,56.29,7771,0.86
0,F,57.56,9789,0.88
0,E,58.76,7795,0.84
0,C,60.15,6726,0.98
0,G,61.93,7435,0.73
0,E,64.21,7699,0.82
0,B,65.77,6870,1.01
0,F,67.58,9765,0.77
0,G,68.86,7339,0.77
0,B,71.14,6894,1.01
0,E,73.07,7771,0.85
0,C,74.51,6750,0.99
0,A,76.21,6846,1.0
0,X,79.22,6882,0.94
1,D,9.58,7891,0.77
1,A,11.78,6870,1.04
1,B,14.96,6846,1.01
1,C,16.78,6702,0.98
1,E,18.5,7795,0.88
1,A,19.98,6894,1.01
1,E,23.24,7699,0.82
1,C,24.63,6894,1.01
1,A,26.57,6894,1.02
1,E,29.65,7723,0.84
1,D,30.81,7819,0.87
1,F,33.04,9813,0.9
1,B,34.18,6822,1.0
1,E,36.15,7699,0.83
1,F,37.54,9909,0.89
1,C,38.72,6846,1.0
1,E,40.54,7579,0.62
1,D,41.52,7963,0.74
1,A,43.54,6750,0.99
1,D,46.29,7771,0.82
1,A,48.54,6822,1.01
1,C,51.83,6726,0.99
1,G,53.68,7459,0.72
1,X,55.8,6882,0.9
2,F,9.93,9933,0.86
2,G,11.02,7339,0.79
2,C,13.34,6774,0.99
2,G,15.25,7459,0.71
2,F,17.61,9957,0.84
2,G,18.62,7411,0.87
2,E,20.89,7603,0.69
2,A,22.4,6822,1.0
2,B,25.47,6750,1.0
2,E,27.46,7723,0.84
2,A,29.04,6750,0.99
2,D,31.81,7963,0.72
2,G,33.98,7531,0.62
2,E,36.13,7699,0.81
2,B,37.52,6822,1.0
2,A,39.59,6822,1.0
2,E,42.84,7651,0.78
2,B,44.18,6726,0.99
2,C,46.03,6750,0.99
2,G,47.76,7531,0.66
2,F,49.99,10030,0.74
2,D,50.69,7771,0.77
2,X,52.7,6882,0.9
3,E,9.54,7699,0.85
3,A,10.93,6894,1.01
3,B,13.93,6894,1.01
3,E,15.94,7579,0.65
3,G,17.46,7459,0.78
3,C,19.85,6774,0.97
3,B,21.75,6870,1.01
3,F,23.64,9885,0.76
3,B,24.65,6822,1.0
3,E,26.5,7651,0.79
3,F,27.99,10030,0.72
3,D,28.7,8060,0.67
3,E,30.85,7819,0.81
3,C,32.26,6822,0.99
3,A,34.01,6726,0.99
3,B,37.16,6846,1.01
3,F,39.02,9885,0.92
3,G,40.04,7483,0.77
3,F,42.29,10006,0.82
3,B,43.3,6846,1.01
3,A,45.39,6774,0.99
3,C,48.68,6870,0.99
3,D,50.04,7963,0.73
3,X,52.03,6882,0.92
4,G,9.93,7579,0.53
4,E,12.22,7723,0.85
4,D,13.38,7891,0.81
4,G,15.52,7579,0.57
4,B,17.65,6846,1.01
4,F,19.58,9981,0.77
4,A,20.6,6774,1.0
4,F,23.81,10054,0.69
4,C,25.06,6822,1.0
4,F,26.7,9861,0.89
4,A,27.98,6750,0.99
4,D,30.73,7819,0.88
4,F,32.77,9765,0.87
4,G,33.85,7531,0.61
4,B,36.02,6894,1.01
4,E,37.95,7555,0.6
4,A,39.48,6870,1.01
4,D,42.27,7939,0.76
4,E,44.32,7819,0.79
4,A,45.78,6870,1.01
4,D,48.67,7819,0.87
4,E,50.78,7699,0.88
4,C,52.12,6798,0.98
4,X,53.78,6882,0.87
5,F,9.96,10054,0.75
5,C,10.98,6846,1.0
5,E,12.72,7531,0.61
5,G,14.09,7435,0.83
5,B,16.32,6846,1.01
5,E,18.29,7819,0.81
5,G,19.72,7531,0.66
5,F,21.83,9813,0.87
5,B,23.07,6798,1.0
5,G,24.99,7483,0.68
5,E,27.16,7627,0.74
5,C,28.51,6846,1.01
5,F,30.24,9813,0.79
5,E,31.31,7603,0.72
5,B,32.6,6846,1.01
5,F,34.45,10054,0.69
5,G,35.55,7459,0.73
5,D,37.52,7963,0.73
5,E,39.54,7627,0.71
5,B,41.05,6894,1.02
5,G,43.1,7435,0.73
5,F,45.42,9885,0.9
5,C,46.65,6870,1.01
5,D,47.93,7747,0.85
5,A,50.04,6750,0.99
5,D,52.84,7963,0.76
5,C,55.08,6870,0.99
5,D,56.58,7843,0.79
5,G,58.57,7555,0.63
5,E,60.75,7723,0.84
5,B,62.19,6822,1.0
5,D,63.7,7795,0.82
5,B,65.8,6798,1.0
5,G,67.82,7555,0.61
5,E,70.12,7819,0.83
5,F,71.54,9765,0.83
5,C,72.66,6822,1.01
5,A,74.37,6726,0.99
5,X,77.42,6882,0.92
6,B,10.0,6774,1.0
6,E,11.97,7699,0.79
6,B,13.33,6846,1.01
6,E,15.31,7675,0.76
6,D,16.35,7795,0.86
6,F,18.46,10006,0.77
6,C,19.58,6798,0.99
6,D,21.0,7939,0.78
6,F,23.02,9765,0.85
6,E,24.3,7555,0.61
6,G,25.69,7531,0.64
6,E,27.84,7651,0.77
6,F,29.26,9789,0.9
6,C,30.51,6726,0.98
6,D,31.92,7987,0.69
6,E,34.14,7675,0.79
6,B,35.55,6846,1.01
6,E,37.61,7555,0.64
6,B,39.11,6726,0.99
6,F,41.08,9957,0.83
6,D,41.85,7939,0.76
6,G,44.06,7579,0.55
6,B,46.2,6894,1.01
6,E,48.14,7627,0.74
6,G,49.6,7531,0.67
6,D,51.48,7867,0.84
6,G,53.65,7387,0.8
6,C,55.97,6750,0.99
6,E,57.83,7651,0.73
6,D,58.76,7915,0.82
6,A,60.94,6726,0.99
6,G,64.02,7459,0.72
6,B,66.27,6774,1.0
6,A,68.23,6870,1.02
6,C,71.35,6750,0.99
6,G,73.19,7411,0.81
6,C,75.36,6726,0.99
6,G,77.06,7483,0.75
6,A,79.38,6846,1.01
6,F,82.51,10006,0.79
6,B,83.54,6870,1.01
6,C,85.37,6726,0.99
6,B,87.2,6894,1.02
6,G,88.99,7531,0.67
6,A,91.38,6822,1.0
6,D,94.12,7987,0.72
6,F,96.23,9957,0.88
6,C,97.41,6750,0.99
6,F,99.1,9957,0.78
6,D,99.89,7987,0.7
6,B,101.93,6822,1.01
6,C,103.86,6798,1.0
6,B,105.71,6846,1.01
6,F,107.62,10078,0.68
6,D,108.43,7915,0.77
6,B,110.45,6750,0.99
6,G,112.31,7555,0.61
6,B,114.43,6846,1.01
6,A,116.35,6846,1.01
6,G,119.62,7363,0.71
6,B,121.93,6726,0.99
6,D,123.63,8012,0.71
6,F,125.63,9981,0.8
6,E,126.84,7699,0.81
6,X,128.13,6882,0.92
7,A,9.99,6798,1.0
7,F,13.17,9765,0.86
7,A,14.23,6894,1.02
7,G,17.41,7363,0.72
7,E,19.75,7531,0.59
7,D,20.91,8036,0.67
7,A,22.92,6846,1.01
7,D,25.76,7939,0.74
7,A,27.87,6726,0.99
7,E,30.98,7795,0.8
7,A,32.49,6774,1.0
7,C,35.69,6894,1.01
7,B,37.41,6894,1.01
7,X,39.19,6882,0.91
8,D,9.58,7963,0.74
8,C,11.7,6846,1.01
8,A,13.45,6846,1.01
8,F,16.45,10006,0.76
8,B,17.65,6726,0.99
8,G,19.69,7483,0.71
8,D,21.6,8036,0.67
8,C,23.81,6750,0.99
8,D,25.1,7915,0.76
8,F,27.09,9861,0.82
8,A,28.32,6798,0.99
8,C,31.46,6846,1.0
8,B,33.22,6774,0.99
8,D,34.76,8036,0.63
8,C,36.79,6870,1.01
8,B,38.44,6846,1.01
8,G,40.46,7363,0.75
8,B,42.6,6870,1.01
8,C,44.6,6774,1.0
8,E,46.4,7675,0.78
8,C,47.87,6870,1.01
8,G,49.54,7339,0.74
8,A,51.85,6726,0.99
8,E,55.01,7507,0.55
8,G,56.38,7411,0.77
8,B,58.69,6870,0.99
8,G,60.49,7579,0.49
8,F,62.68,10030,0.77
8,B,63.76,6774,1.0
8,F,65.64,9981,0.74
8,G,66.71,7579,0.53
8,B,68.96,6750,1.0
8,F,71.01,10078,0.67
8,C,72.06,6750,0.99
8,F,73.76,10030,0.69
8,G,74.98,7507,0.73
8,D,76.9,7963,0.72
8,X,78.89,6882,0.83
9,A,9.96,6774,1.0
9,F,13.08,9933,0.8
9,G,14.13,7555,0.61
9,F,16.31,9885,0.9
9,A,17.47,6798,0.99
9,E,20.65,7675,0.82
9,B,22.14,6822,1.01
9,C,24.06,6822,1.0
9,E,25.86,7699,0.79
9,G,27.33,7531,0.63
9,D,29.18,7939,0.75
9,G,31.24,7363,0.82
9,D,33.04,7939,0.75
9,C,35.27,6774,0.99
9,A,37.03,6774,0.99
9,D,39.85,7795,0.79
9,C,41.88,6750,0.99
9,D,43.19,7843,0.89
9,G,45.29,7459,0.75
9,D,47.19,7987,0.69
9,A,49.3,6822,1.0
9,G,52.38,7387,0.74
9,A,54.67,6846,1.01
9,C,57.8,6870,1.01
9,E,59.67,7555,0.61
9,B,61.01,6726,0.99
9,E,62.89,7747,0.88
9,F,64.26,9789,0.81
9,X,65.24,6882,0.91
10,A,9.95,6774,1.0
10,E,13.04,7555,0.6
10,G,14.38,7387,0.74
10,A,16.59,6798,1.0
10,C,19.84,6774,0.99
10,B,21.6,6726,0.99
10,D,23.1,8036,0.69
10,B,25.19,6894,1.01
10,C,27.12,6774,0.99
10,G,28.86,7339,0.75
10,A,31.06,6750,0.99
10,D,33.75,7867,0.86
10,C,35.96,6726,0.98
10,B,37.87,6726,0.99
10,D,39.38,8012,0.69
10,B,41.4,6726,0.99
10,D,42.89,7819,0.89
10,E,44.98,7531,0.57
10,G,46.4,7531,0.65
10,F,48.7,9909,0.88
10,X,49.68,6882,0.93
11,A,9.95,6846,1.01
11,B,13.11,6822,1.0
11,C,14.94,6846,1.01
11,F,16.86,9789,0.85
11,G,17.92,7555,0.61
11,A,20.08,6870,1.02
11,B,23.12,6870,1.01
11,A,25.18,6846,1.0
11,F,28.2,10054,0.72
11,B,29.25,6774,0.99
11,A,31.31,6750,0.99
11,B,34.46,6822,1.0
11,G,36.44,7507,0.72
11,B,38.7,6750,0.99
11,E,40.59,7795,0.86
11,D,41.6,7771,0.81
11,X,43.61,6882,0.85
12,D,9.57,7891,0.8
12,G,11.6,7459,0.74
12,A,13.82,6870,1.02
