Sequence,Signal Type,Time (s),Frequency (Hz),Correlation Value
0,D,9.59,7576,0.81
0,A,11.63,6820,0.0
0,B,14.94,6760,0.01
0,D,16.39,7616,0.79
0,C,18.67,6840,-0.01
0,D,20.13,7496,0.88
0,A,22.38,6720,0.01
0,F,25.69,10038,0.72
0,E,26.83,7536,0.59
0,F,28.38,10018,0.77
0,C,29.47,6720,0.02
0,A,31.21,6840,-0.03
0,G,34.48,7416,0.9
0,B,36.67,6840,-0.01
0,G,38.58,7516,0.64
0,C,40.91,6800,0.0
0,D,42.41,7576,0.83
0,G,44.49,7576,0.55
0,E,46.72,7596,0.64
0,F,48.09,9878,0.88
0,C,49.13,6760,0.01
0,E,50.91,7556,0.6
0,F,52.4,9898,0.85
0,E,53.63,7776,0.9
0,F,55.05,9838,0.93
0,E,56.29,7776,0.89
0,F,57.57,9778,0.83
0,E,58.77,7796,0.79
0,C,60.15,6720,0.02
0,G,61.93,7436,0.8
0,E,64.23,7696,0.82
0,B,65.77,6880,-0.01
0,F,67.58,9778,0.84
0,G,68.85,7356,0.73
0,B,71.13,6880,-0.01
0,E,73.08,7776,0.86
0,C,74.51,6740,0.01
0,A,76.21,6840,-0.03
0,X,79.22,6875,0.95
1,D,9.59,7616,0.76
1,A,11.78,6880,-0.04
1,B,14.96,6840,-0.01
1,C,16.78,6700,0.01
1,E,18.51,7796,0.86
1,A,19.98,6880,-0.04
1,E,23.25,7696,0.87
1,C,24.64,6880,-0.01
1,A,26.56,6880,-0.04
1,E,29.66,7716,0.89
1,D,30.8,7556,0.87
1,F,33.05,9818,0.88
1,B,34.18,6820,-0.01
1,E,36.16,7696,0.87
1,F,37.54,9918,0.84
1,C,38.72,6840,0.0
1,E,40.54,7576,0.62
1,D,41.51,7676,0.68
1,A,43.54,6760,0.01
1,D,46.28,7496,0.82
1,A,48.54,6820,-0.0
1,C,51.83,6720,0.01
1,G,53.67,7456,0.84
1,X,55.8,6875,0.93
2,F,9.95,9938,0.8
2,G,11.01,7356,0.73
2,C,13.34,6780,0.01
2,G,15.25,7476,0.79
2,F,17.62,9958,0.83
2,G,18.63,7416,0.84
2,E,20.89,7596,0.65
2,A,22.4,6820,0.0
2,B,25.47,6760,0.0
2,E,27.47,7716,0.79
2,A,29.04,6740,0.01
2,D,31.8,7696,0.65
2,G,33.98,7516,0.66
2,E,36.13,7696,0.84
2,B,37.52,6820,0.0
2,A,39.6,6800,0.0
2,E,42.85,7656,0.8
2,B,44.18,6720,0.01
2,C,46.03,6740,0.01
2,G,47.76,7536,0.67
2,F,50.0,10018,0.73
2,D,50.68,7516,0.77
2,X,52.71,6875,0.93
3,E,9.55,7696,0.87
3,A,10.93,6880,-0.04
3,B,13.95,6880,-0.02
3,E,15.95,7576,0.64
3,G,17.45,7476,0.78
3,C,19.86,6780,0.01
3,B,21.75,6860,-0.02
3,F,23.65,9898,0.89
3,B,24.66,6820,-0.01
3,E,26.51,7656,0.79
3,F,27.99,10038,0.76
3,D,28.7,7776,0.59
3,E,30.86,7816,0.78
3,C,32.26,6820,0.0
3,A,34.02,6720,0.02
3,B,37.15,6840,-0.01
3,F,39.02,9878,0.84
3,G,40.04,7496,0.77
3,F,42.29,9998,0.76
3,B,43.3,6840,-0.01
3,A,45.39,6760,0.01
3,C,48.71,6860,-0.01
3,D,50.04,7696,0.63
3,X,52.02,6875,0.88
4,G,9.94,7596,0.56
4,E,12.23,7716,0.9
4,D,13.37,7596,0.78
4,G,15.51,7596,0.56
4,B,17.65,6840,-0.01
4,F,19.59,9978,0.8
4,A,20.6,6780,0.01
4,F,23.82,10038,0.73
4,C,25.06,6820,-0.01
4,F,26.7,9858,0.84
4,A,27.98,6740,0.01
4,D,30.73,7536,0.81
4,F,32.78,9778,0.77
4,G,33.85,7556,0.61
4,B,36.02,6900,-0.02
4,E,37.96,7556,0.58
4,A,39.48,6860,-0.04
4,D,42.26,7656,0.69
4,E,44.33,7816,0.83
4,A,45.79,6860,-0.04
4,D,48.67,7536,0.89
4,E,50.78,7696,0.87
4,C,52.11,6800,0.01
4,X,53.78,6875,0.89
5,F,9.97,10058,0.72
5,C,10.98,6840,-0.01
5,E,12.73,7536,0.58
5,G,14.1,7436,0.82
5,B,16.32,6840,-0.01
5,E,18.3,7816,0.83
5,G,19.72,7536,0.65
5,F,21.83,9818,0.89
5,B,23.07,6780,0.0
5,G,25.0,7476,0.79
5,E,27.17,7636,0.72
5,C,28.5,6840,0.0
5,F,30.23,9818,0.81
5,E,31.31,7596,0.67
5,B,32.61,6840,-0.01
5,F,34.45,10058,0.72
5,G,35.54,7456,0.84
5,D,37.52,7696,0.68
5,E,39.55,7636,0.75
5,B,41.04,6880,-0.02
5,G,43.11,7436,0.79
5,F,45.42,9878,0.9
5,C,46.64,6860,-0.01
5,D,47.93,7476,0.81
5,A,50.05,6740,0.01
5,D,52.84,7676,0.66
5,C,55.12,6860,-0.01
5,D,56.58,7576,0.83
5,G,58.57,7556,0.61
5,E,60.75,7736,0.88
5,B,62.19,6820,-0.01
5,D,63.71,7536,0.78
5,B,65.8,6780,0.0
5,G,67.82,7556,0.59
5,E,70.13,7816,0.79
5,F,71.55,9758,0.84
5,C,72.65,6820,0.0
5,A,74.37,6720,0.01
5,X,77.43,6875,0.85
6,B,9.99,6780,0.0
6,E,11.97,7716,0.87
6,B,13.33,6840,-0.01
6,E,15.32,7676,0.77
6,D,16.34,7536,0.81
6,F,18.48,10018,0.72
6,C,19.59,6780,0.0
6,D,20.99,7656,0.68
6,F,23.03,9758,0.82
6,E,24.31,7556,0.59
6,G,25.69,7516,0.68
6,E,27.84,7656,0.76
6,F,29.27,9798,0.81
6,C,30.51,6720,0.01
6,D,31.92,7696,0.66
6,E,34.15,7676,0.81
6,B,35.54,6820,-0.01
6,E,37.61,7556,0.62
6,B,39.12,6720,0.01
6,F,41.09,9958,0.85
6,D,41.84,7676,0.69
6,G,44.06,7596,0.54
6,B,46.2,6900,-0.02
6,E,48.15,7616,0.7
6,G,49.59,7536,0.69
6,D,51.48,7576,0.8
6,G,53.66,7396,0.87
6,C,55.96,6740,0.01
6,E,57.83,7676,0.76
6,D,58.77,7636,0.75
6,A,60.93,6720,0.01
6,G,64.03,7456,0.84
6,B,66.26,6760,0.01
6,A,68.23,6860,-0.04
6,C,71.35,6760,0.01
6,G,73.19,7416,0.82
6,C,75.36,6720,0.01
6,G,77.07,7476,0.76
6,A,79.37,6820,-0.03
6,F,82.52,9998,0.8
6,B,83.55,6880,-0.01
6,C,85.36,6720,0.01
6,B,87.2,6900,-0.02
6,G,88.99,7536,0.67
6,A,91.37,6800,0.0
6,D,94.12,7696,0.62
6,F,96.23,9958,0.86
6,C,97.41,6760,0.01
6,F,99.09,9958,0.77
6,D,99.88,7716,0.61
6,B,101.93,6820,-0.01
6,C,103.84,6780,0.01
6,B,105.7,6840,-0.01
6,F,107.62,10058,0.68
6,D,108.42,7636,0.76
6,B,110.45,6740,0.01
6,G,112.31,7556,0.6
6,B,114.42,6840,-0.01
6,A,116.34,6840,-0.03
6,G,119.61,7376,0.82
6,B,121.94,6740,0.01
6,D,123.63,7736,0.61
6,F,125.63,9978,0.76
6,E,126.85,7716,0.83
6,X,128.13,6875,0.93
7,A,9.99,6800,0.0
7,F,13.18,9758,0.76
7,A,14.24,6880,-0.04
7,G,17.41,7356,0.79
7,E,19.76,7536,0.59
7,D,20.9,7756,0.61
7,A,22.92,6840,-0.04
7,D,25.75,7656,0.71
7,A,27.88,6720,0.01
7,E,30.98,7796,0.81
7,A,32.49,6760,0.0
7,C,35.69,6880,-0.01
7,B,37.41,6880,-0.02
7,X,39.2,6875,0.89
8,D,9.58,7676,0.68
8,C,11.7,6840,-0.01
8,A,13.45,6840,-0.03
8,F,16.46,9998,0.81
8,B,17.64,6740,0.01
8,G,19.7,7496,0.78
8,D,21.59,7756,0.59
8,C,23.81,6760,0.01
8,D,25.09,7636,0.71
8,F,27.1,9878,0.8
8,A,28.33,6800,0.01
8,C,31.45,6820,-0.01
8,B,33.22,6760,0.01
8,D,34.75,7756,0.55
8,C,36.78,6860,-0.01
8,B,38.43,6840,-0.01
8,G,40.45,7376,0.83
8,B,42.6,6860,-0.01
8,C,44.6,6760,0.01
8,E,46.41,7696,0.81
8,C,47.87,6880,-0.01
8,G,49.55,7356,0.78
8,A,51.85,6720,0.01
8,E,55.01,7516,0.55
8,G,56.37,7416,0.75
8,B,58.68,6860,-0.01
8,G,60.48,7596,0.54
8,F,62.68,10038,0.72
8,B,63.76,6760,0.0
8,F,65.64,9998,0.8
8,G,66.71,7596,0.53
8,B,68.96,6740,0.01
8,F,71.02,10078,0.65
8,C,72.06,6740,0.01
8,F,73.77,10038,0.71
8,G,74.99,7516,0.71
8,D,76.9,7696,0.67
8,X,78.89,6875,0.91
9,A,9.97,6760,0.01
9,F,13.08,9918,0.78
9,G,14.13,7556,0.62
9,F,16.31,9898,0.86
9,A,17.47,6780,0.01
9,E,20.66,7676,0.82
9,B,22.14,6820,-0.01
9,C,24.06,6820,0.0
9,E,25.86,7716,0.89
9,G,27.33,7536,0.63
9,D,29.18,7676,0.69
9,G,31.24,7376,0.79
9,D,33.03,7676,0.67
9,C,35.27,6760,0.01
9,A,37.03,6780,0.01
9,D,39.85,7536,0.83
9,C,41.88,6760,0.01
9,D,43.19,7556,0.83
9,G,45.29,7456,0.82
9,D,47.19,7696,0.62
9,A,49.3,6820,0.0
9,G,52.38,7376,0.79
9,A,54.67,6840,-0.03
9,C,57.8,6860,-0.01
9,E,59.68,7556,0.62
9,B,61.0,6720,0.01
9,E,62.9,7756,0.91
9,F,64.27,9778,0.87
9,X,65.24,6875,0.94
10,A,9.96,6780,0.0
10,E,13.06,7556,0.58
10,G,14.39,7376,0.8
10,A,16.59,6800,0.0
10,C,19.84,6760,0.01
10,B,21.6,6720,0.01
10,D,23.1,7756,0.61
10,B,25.19,6900,-0.01
10,C,27.12,6760,0.01
10,G,28.87,7356,0.78
10,A,31.06,6740,0.01
10,D,33.75,7596,0.84
10,C,35.96,6720,0.01
10,B,37.88,6720,0.01
10,D,39.37,7716,0.61
10,B,41.4,6720,0.01
10,D,42.89,7536,0.84
10,E,44.98,7536,0.55
10,G,46.39,7536,0.66
10,F,48.7,9918,0.87
10,X,49.68,6875,0.88
11,A,9.96,6840,-0.03
11,B,13.11,6820,0.0
11,C,14.95,6840,-0.01
11,F,16.86,9798,0.86
11,G,17.93,7556,0.58
11,A,20.09,6880,-0.04
11,B,23.12,6860,-0.01
11,A,25.18,6840,-0.03
11,F,28.2,10058,0.68
11,B,29.25,6760,0.01
11,A,31.31,6760,0.01
11,B,34.46,6820,-0.01
11,G,36.44,7496,0.68
11,B,38.7,6740,0.01
11,E,40.6,7796,0.87
11,D,41.59,7496,0.84
11,X,43.61,6875,0.9
12,D,9.58,7616,0.77
12,G,11.6,7476,0.83
12,A,13.82,6860,-0.04
