Sequence,Signal Type,Time (s),Frequency (Hz),Correlation Value
0,D,9.58,7696,0.63
0,C,11.71,6760,0.0
0,G,13.37,7416,0.81
0,F,15.72,9918,0.88
0,C,16.74,6740,0.01
0,F,18.44,9858,0.88
0,G,19.53,7516,0.65
0,F,21.67,9878,0.9
0,C,22.82,6820,-0.01
0,F,24.68,10058,0.71
0,E,25.78,7556,0.6
0,A,27.35,6760,0.01
0,E,30.52,7676,0.78
0,B,31.97,6840,-0.01
0,X,33.78,6875,0.95
1,B,9.98,6720,0.01
1,G,11.86,7396,0.87
1,B,14.02,6760,0.01
1,F,15.83,10038,0.71
1,C,17.03,6840,-0.01
1,A,18.92,6720,0.01
1,D,21.63,7556,0.8
1,C,23.83,6880,-0.01
1,F,25.5,9998,0.72
1,B,26.73,6740,0.01
1,F,28.75,9938,0.79
1,B,29.89,6720,0.01
1,D,31.39,7616,0.79
1,A,33.67,6760,0.01
1,E,37.0,7616,0.68
1,X,38.29,6875,0.84
2,A,9.97,6720,0.01
2,B,13.13,6820,-0.01
2,A,15.16,6740,0.01
2,B,18.25,6800,-0.01
2,C,20.21,6860,-0.01
2,G,21.86,7456,0.81
2,C,24.25,6740,0.0
2,D,25.61,7756,0.58
2,G,27.76,7476,0.82
2,F,30.02,9798,0.87
2,A,31.1,6720,0.02
2,D,33.84,7536,0.81
2,F,35.98,9898,0.85
2,E,37.09,7696,0.83
2,X,38.39,6875,0.91
3,D,9.59,7696,0.64
3,G,11.75,7556,0.64
3,C,14.04,6880,-0.01
3,G,15.78,7356,0.82
3,D,17.62,7656,0.71
3,G,19.63,7536,0.69
3,C,21.98,6860,-0.01
3,G,23.79,7596,0.56
3,A,26.14,6820,-0.0
3,C,29.43,6860,-0.01
3,G,31.22,7536,0.66
3,A,33.57,6820,-0.03
3,D,36.33,7536,0.84
3,F,38.59,9838,0.86
3,B,39.83,6740,0.0
3,C,41.76,6820,-0.01
3,F,43.43,9778,0.83
3,B,44.62,6700,0.01
3,E,46.55,7616,0.72
3,A,48.0,6740,0.01
3,D,50.7,7676,0.65
3,E,52.71,7756,0.84
3,F,54.07,9838,0.88
3,A,55.17,6860,-0.04
3,D,57.96,7616,0.78
3,B,60.0,6760,0.01
3,C,62.07,6860,-0.01
3,A,63.96,6760,0.01
3,B,67.05,6760,0.0
3,D,68.52,7556,0.84
3,G,70.77,7536,0.6
3,X,72.89,6875,0.94
4,C,9.98,6780,0.01
4,E,11.66,7776,0.85
4,D,12.56,7496,0.73
4,F,14.69,9778,0.82
4,B,15.78,6760,0.0
4,F,17.7,10038,0.73
4,A,18.86,6720,0.01
4,G,22.08,7356,0.71
4,B,24.35,6860,-0.01
4,E,26.2,7676,0.81
4,F,27.55,9918,0.8
4,C,28.57,6720,0.01
4,E,30.41,7816,0.8
4,A,31.74,6840,-0.03
4,B,35.0,6800,-0.01
4,C,36.83,6880,-0.01
4,F,38.5,9998,0.78
4,B,39.59,6820,-0.01
4,G,41.55,7596,0.55
4,C,43.69,6860,-0.01
4,A,45.37,6760,0.01
4,B,48.63,6720,0.01
4,F,50.67,10018,0.77
4,C,51.74,6880,-0.01
4,E,53.46,7596,0.66
4,A,54.82,6700,0.01
4,C,58.07,6740,0.01
4,G,59.95,7536,0.67
4,A,62.21,6880,-0.04
4,B,65.27,6740,0.01
4,A,67.35,6820,0.0
4,B,70.43,6860,-0.02
4,D,71.89,7576,0.8
4,X,73.88,6875,0.85
5,C,9.96,6720,0.01
5,A,11.86,6900,-0.04
5,E,14.93,7796,0.83
5,D,16.01,7596,0.8
5,C,18.07,6720,0.02
5,D,19.58,7516,0.79
5,A,21.85,6740,0.01
5,F,25.16,9838,0.84
5,A,26.29,6780,0.0
5,E,29.39,7636,0.76
5,C,30.86,6720,0.01
5,G,32.78,7436,0.86
5,C,35.14,6880,-0.01
5,D,36.4,7656,0.69
5,B,38.43,6860,-0.02
5,X,40.22,6875,0.95
6,D,9.58,7696,0.65
6,F,11.68,10078,0.65
6,B,12.92,6760,0.0
6,C,14.77,6780,0.01
6,G,16.61,7556,0.63
6,C,18.84,6720,0.01
6,E,20.57,7736,0.82
6,C,21.93,6820,0.0
