Sequence,Signal Type,Time (s),Frequency (Hz),Correlation Value
0,G,9.94,7416,0.84
0,E,12.11,7576,0.62
0,F,13.43,9858,0.93
0,C,14.55,6780,0.0
0,E,16.32,7696,0.88
0,G,17.65,7536,0.69
0,E,19.8,7576,0.64
0,B,21.26,6860,-0.01
0,A,23.35,6780,0.01
0,E,26.66,7616,0.71
0,C,28.09,6880,-0.01
0,B,29.75,6860,-0.02
0,C,31.78,6700,0.01
0,F,33.63,9918,0.8
0,B,34.63,6860,-0.01
0,C,36.65,6840,-0.01
0,A,38.45,6700,0.02
0,B,41.55,6760,0.0
0,A,43.44,6740,0.01
0,B,46.55,6740,0.01
0,A,48.5,6820,0.0
0,B,51.64,6840,-0.01
0,C,53.68,6720,0.02
0,B,55.65,6800,0.0
0,D,57.32,7636,0.68
0,X,59.31,6875,0.95
1,B,9.98,6860,-0.01
1,C,11.81,6740,0.02
1,E,13.73,7636,0.73
1,B,15.13,6840,-0.01
1,C,16.95,6820,0.0
1,D,18.32,7596,0.76
1,A,20.38,6760,0.01
1,E,23.73,7676,0.83
1,B,25.16,6820,-0.01
1,E,27.09,7676,0.82
1,F,28.58,9978,0.78
1,B,29.7,6780,0.0
1,D,31.28,7736,0.61
1,E,33.51,7516,0.56
1,D,34.55,7516,0.82
1,C,36.75,6780,0.01
1,B,38.62,6720,0.01
1,G,40.7,7496,0.72
1,E,43.01,7716,0.87
1,A,44.36,6820,-0.03
1,D,47.02,7756,0.57
1,F,49.11,9998,0.74
1,D,49.81,7496,0.84
1,C,51.98,6860,-0.01
1,A,53.73,6740,0.01
1,G,56.8,7516,0.71
1,F,58.95,9958,0.84
1,A,60.06,6760,0.01
1,B,63.31,6880,-0.01
1,X,65.09,6875,0.87
2,B,9.95,6860,-0.01
2,D,11.62,7576,0.82
2,B,13.65,6840,-0.01
2,A,15.47,6820,-0.02
2,F,18.51,10038,0.74
2,G,19.71,7456,0.83
2,B,21.86,6700,0.01
2,E,23.78,7816,0.81
2,C,25.1,6740,0.01
2,X,26.78,6875,0.92
3,D,9.54,7676,0.67
3,G,11.79,7356,0.79
3,F,14.17,9778,0.81
3,B,15.29,6720,0.01
3,A,17.15,6820,0.0
3,E,20.28,7716,0.86
3,F,21.58,10018,0.77
3,C,22.61,6860,-0.01
3,X,24.27,6875,0.88
4,B,9.98,6860,-0.01
4,D,11.59,7736,0.61
4,E,13.78,7616,0.7
4,G,15.09,7396,0.69
4,D,16.86,7676,0.61
4,C,18.97,6860,-0.01
4,A,20.72,6800,0.0
4,G,23.91,7576,0.54
4,B,26.04,6760,0.01
4,G,28.09,7556,0.64
4,D,29.91,7656,0.72
4,A,31.95,6880,-0.04
4,E,35.06,7676,0.81
4,B,36.47,6780,0.0
4,G,38.32,7556,0.59
4,D,40.21,7456,0.8
4,B,42.3,6880,-0.01
4,C,44.14,6720,0.01
4,D,45.57,7516,0.85
4,A,47.76,6840,-0.02
4,C,50.83,6760,0.01
4,B,52.55,6760,0.01
4,F,54.48,9958,0.85
4,B,55.47,6700,0.01
4,D,56.98,7636,0.7
4,A,59.11,6800,0.0
