Sequence,Signal Type,Time (s),Frequency (Hz),Correlation Value
0,A,9.96,6840,-0.03
0,C,13.07,6860,-0.01
0,D,14.35,7716,0.61
0,B,16.45,6840,-0.01
0,D,18.04,7696,0.66
0,B,20.12,6760,0.01
0,C,22.12,6820,0.0
0,A,23.81,6760,0.01
0,E,26.96,7696,0.8
0,B,28.42,6900,-0.02
0,G,30.45,7516,0.68
0,E,32.77,7616,0.73
0,D,33.88,7496,0.86
0,F,36.17,9878,0.91
0,X,37.14,6875,0.9
1,A,9.98,6740,0.01
1,C,13.14,6820,0.0
1,G,14.93,7456,0.83
1,F,17.14,9818,0.84
1,G,18.22,7376,0.77
1,B,20.6,6720,0.01
1,E,22.47,7596,0.66
1,C,24.01,6860,-0.01
1,G,25.78,7476,0.8
1,B,27.96,6860,-0.01
1,E,30.02,7596,0.68
1,F,31.44,9978,0.84
1,B,32.64,6780,0.0
1,G,34.64,7556,0.63
1,D,36.37,7736,0.57
1,E,38.6,7736,0.81
1,B,40.05,6740,0.01
1,F,41.92,10058,0.71
1,D,42.53,7716,0.61
1,G,44.57,7356,0.74
1,A,46.97,6740,0.01
1,F,50.04,9798,0.86
1,B,51.12,6900,-0.02
1,F,52.99,9958,0.8
1,G,54.09,7376,0.85
1,F,56.32,10038,0.76
1,E,57.4,7716,0.88
1,A,58.72,6780,0.0
1,B,61.79,6740,0.0
1,A,63.7,6860,-0.04
1,G,66.72,7516,0.7
1,C,68.94,6820,0.0
1,X,70.59,6875,0.94
2,C,9.99,6860,-0.01
2,D,11.52,7556,0.8
2,G,13.52,7476,0.81
2,C,15.82,6740,0.01
2,F,17.58,9938,0.85
2,G,18.74,7416,0.77
2,E,21.07,7656,0.77
2,G,22.4,7516,0.64
2,E,24.76,7556,0.59
2,C,26.07,6840,-0.01
2,G,28.0,7356,0.74
2,E,30.24,7516,0.58
2,B,31.59,6900,-0.02
2,G,33.49,7456,0.73
2,B,35.69,6800,-0.01
2,D,37.19,7556,0.86
2,G,39.29,7376,0.79
2,D,41.04,7656,0.7
2,C,43.27,6800,0.0
2,E,45.11,7696,0.85
2,F,46.59,10078,0.68
2,A,47.83,6860,-0.04
2,X,50.84,6875,0.88
3,F,9.96,9838,0.82
3,D,10.76,7536,0.87
3,B,13.03,6760,0.01
3,A,15.14,6840,-0.03
3,D,18.04,7696,0.63
3,A,20.18,6840,-0.03
3,G,23.47,7356,0.76
3,F,25.65,9918,0.82
3,D,26.48,7636,0.74
3,F,28.7,10058,0.71
3,D,29.41,7616,0.73
3,F,31.62,9818,0.77
3,E,32.72,7716,0.87
3,C,34.27,6740,0.01
3,X,35.94,6875,0.86
4,G,9.96,7576,0.56
4,F,12.26,9878,0.85
4,B,13.43,6800,0.0
4,A,15.42,6800,0.0
4,G,18.48,7516,0.66
4,E,20.67,7756,0.83
4,G,22.13,7336,0.75
4,A,24.51,6740,0.01
4,C,27.59,6760,0.01
4,F,29.35,9778,0.79
4,G,30.52,7416,0.72
4,B,32.74,6800,-0.01
4,C,34.64,6860,-0.01
4,E,36.34,7676,0.78
4,A,37.9,6880,-0.04
4,B,40.93,6720,0.01
4,C,42.94,6840,0.0
4,B,44.74,6780,-0.01
4,G,46.56,7476,0.77
4,A,48.72,6820,0.0
4,C,51.93,6720,0.01
4,A,53.64,6880,-0.04
4,F,56.64,9818,0.84
4,E,57.77,7596,0.69
4,D,58.86,7616,0.74
4,G,60.91,7576,0.6
4,B,63.05,6720,0.01
4,F,65.14,9898,0.8
4,A,66.14,6800,0.0
4,D,68.88,7716,0.6
4,F,70.87,9898,0.85
4,D,71.68,7636,0.67
4,C,73.76,6880,-0.01
4,A,75.5,6900,-0.04
4,E,78.57,7696,0.88
4,X,79.85,6875,0.95
5,C,9.99,6900,-0.01
5,A,11.67,6760,0.01
5,D,14.49,7596,0.79
5,E,16.5,7736,0.87
5,F,17.91,9978,0.8
5,B,18.98,6840,-0.01
5,G,20.94,7576,0.59
5,X,23.04,6875,0.95
6,C,9.97,6720,0.01
6,G,11.75,7556,0.57
6,A,14.1,6860,-0.04
6,B,17.19,6800,-0.01
6,F,19.16,9858,0.85
6,B,20.23,6820,-0.01
6,C,22.2,6780,0.01
6,G,24.0,7496,0.78
6,F,26.36,9978,0.77
6,D,27.04,7776,0.58
6,C,29.1,6840,-0.01
6,B,30.84,6840,-0.01
6,D,32.43,7476,0.84
6,E,34.73,7676,0.82
6,X,36.01,6875,0.91
7,D,9.56,7536,0.82
7,E,11.79,7576,0.62
7,C,13.28,6860,0.0
7,B,15.18,6740,0.01
7,A,17.23,6780,0.0
7,G,20.31,7396,0.85
7,F,22.62,9778,0.83
7,X,23.62,6875,0.91
8,G,9.96,7536,0.64
8,E,12.22,7596,0.69
8,G,13.55,7336,0.73
8,A,15.71,6720,0.01
8,E,18.97,7736,0.86
8,F,20.45,9838,0.85
8,C,21.45,6780,0.01
8,A,23.24,6820,-0.0
8,E,26.3,7636,0.76
8,G,27.78,7336,0.78
8,D,29.74,7476,0.82
8,A,31.82,6840,-0.03
8,E,34.9,7576,0.64
8,A,36.47,6800,0.0
8,D,39.37,7536,0.85
8,E,41.41,7676,0.82
8,B,42.72,6740,0.01
8,A,44.57,6880,-0.04
8,C,47.67,6760,0.01
8,D,49.18,7716,0.6
8,E,51.36,7736,0.8
8,D,52.5,7516,0.82
8,C,54.54,6740,0.01
8,B,56.39,6780,-0.01
8,G,58.47,7416,0.81
8,D,60.38,7736,0.59
8,E,62.61,7676,0.82
8,G,64.04,7496,0.74
8,D,65.78,7556,0.8
8,B,67.82,6740,0.01
8,A,69.88,6740,0.01
8,F,73.02,9858,0.81
8,X,74.0,6875,0.92
9,C,9.99,6760,0.01
9,D,11.46,7556,0.88
9,G,13.53,7476,0.83
9,E,15.86,7816,0.77
9,C,17.26,6720,0.01
9,D,18.78,7736,0.58
9,F,20.98,9938,0.8
9,A,22.19,6720,0.01
9,C,25.43,6800,0.0
9,E,27.36,7696,0.84
9,C,28.78,6900,-0.02
9,E,30.53,7596,0.68
9,B,31.88,6720,0.01
9,A,33.91,6720,0.01
9,E,37.09,7576,0.65
9,C,38.52,6800,0.0
9,E,40.17,7716,0.89
9,G,41.59,7336,0.79
9,E,43.89,7756,0.82
9,A,45.37,6840,-0.04
9,B,48.64,6860,-0.01
9,G,50.47,7496,0.75
9,F,52.61,9858,0.9
9,G,53.71,7496,0.76
9,C,56.05,6820,0.0
9,F,57.85,9898,0.84
9,A,58.99,6800,0.0
9,G,62.1,7396,0.78
9,C,64.48,6720,0.01
9,B,66.2,6760,0.01
9,E,68.23,7616,0.73
9,G,69.51,7576,0.54
9,E,71.68,7616,0.71
9,A,73.12,6880,-0.04
9,B,76.15,6820,0.0
9,G,78.01,7556,0.64
9,C,80.23,6880,-0.01
9,E,82.08,7776,0.84
9,A,83.52,6760,0.01
9,E,86.75,7556,0.63
9,C,88.2,6840,-0.01
9,D,89.55,7556,0.87
9,X,91.57,6875,0.89
10,C,10.0,6740,0.0
10,B,11.79,6820,-0.01
10,E,13.73,7556,0.6
10,G,15.07,7396,0.84
10,B,17.28,6800,-0.01
10,F,19.18,10078,0.65
10,B,20.33,6800,0.01
10,A,22.19,6780,0.01
10,E,25.27,7796,0.8
10,F,26.61,10078,0.66
10,B,27.62,6780,0.0
10,D,29.17,7456,0.79
10,F,31.38,9938,0.85
10,C,32.42,6840,-0.01
10,D,33.73,7536,0.88
10,F,35.86,10058,0.69
10,D,36.61,7536,0.88
10,F,38.66,9958,0.83
10,C,39.75,6740,0.01
10,B,41.49,6860,-0.01
10,E,43.39,7816,0.82
10,G,44.83,7376,0.74
10,C,47.22,6860,-0.01
10,D,48.68,7716,0.64
10,F,50.69,9978,0.83
10,A,51.88,6760,0.01
10,X,54.93,6875,0.95
11,C,9.98,6760,0.0
11,F,11.66,10018,0.7
11,D,12.46,7736,0.59
11,F,14.6,9878,0.9
11,C,15.72,6740,0.01
11,G,17.44,7596,0.54
11,D,19.32,7696,0.65
11,C,21.48,6760,0.01
11,B,23.37,6840,-0.02
11,D,24.97,7456,0.74
11,F,27.16,10058,0.71
11,C,28.36,6880,-0.01
11,A,30.07,6860,-0.04
11,D,32.87,7716,0.58
11,A,35.06,6860,-0.04
11,E,38.13,7576,0.65
11,A,39.48,6820,0.0
11,F,42.64,9918,0.81
11,A,43.84,6900,-0.04
11,B,46.97,6720,0.01
11,E,48.93,7796,0.79
11,B,50.31,6860,-0.01
11,A,52.35,6720,0.01
11,D,55.07,7596,0.79
11,A,57.11,6860,-0.04
11,F,60.32,10018,0.76
11,G,61.34,7356,0.67
11,B,63.75,6880,-0.02
11,C,65.61,6820,-0.01
11,X,67.25,6875,0.87
12,E,9.57,7596,0.69
12,B,10.97,6780,0.0
12,C,12.98,6740,0.01
12,A,14.71,6800,0.0
12,B,17.8,6820,-0.01
12,A,19.66,6880,-0.04
12,C,22.81,6760,0.0
12,D,24.1,7756,0.6
12,B,26.2,6780,0.0
12,C,28.3,6820,-0.01
12,A,30.12,6820,0.0
12,G,33.17,7456,0.85
12,D,34.95,7516,0.86
12,E,37.18,7716,0.84
12,A,38.75,6840,-0.04
12,B,41.81,6780,0.0
12,C,43.88,6860,-0.01
12,B,45.76,6740,0.01
12,A,47.73,6800,0.0
12,F,50.99,9798,0.9
12,G,51.99,7576,0.57
12,B,54.13,6740,0.01
12,F,56.02,9778,0.85
12,B,57.23,6840,-0.01
12,A,59.27,6820,-0.0
12,E,62.51,7796,0.8
12,F,63.95,9878,0.9
12,D,64.56,7576,0.79
12,B,66.66,6880,-0.01
12,G,68.54,7456,0.83
12,E,70.7,7536,0.59
12,B,72.04,6860,-0.02
12,G,73.89,7456,0.75
12,A,76.03,6840,-0.03
12,G,79.04,7576,0.6
12,B,81.33,6840,-0.02
12,A,83.19,6780,0.0
12,E,86.23,7736,0.89
12,A,87.6,6740,0.01
12,C,90.95,6760,0.01
12,X,92.7,6875,0.94
13,F,9.96,9998,0.74
13,E,11.04,7656,0.77
13,F,12.57,9898,0.82
13,E,13.63,7756,0.88
13,G,15.2,7336,0.7
13,A,17.36,6840,-0.03
13,E,20.56,7676,0.78
13,D,21.53,7576,0.81
13,C,23.75,6840,-0.01
13,A,25.65,6860,-0.03
13,C,28.77,6760,0.0
13,G,30.51,7396,0.78
13,E,32.76,7716,0.85
13,C,34.32,6780,0.0
13,G,36.17,7336,0.78
13,C,38.41,6800,0.01
13,E,40.15,7756,0.85
13,G,41.47,7476,0.77
13,A,43.65,6840,-0.03
13,F,46.74,9978,0.81
13,G,47.73,7476,0.73
13,C,50.09,6840,-0.01
13,B,51.84,6840,-0.01
13,X,53.65,6875,0.92
14,D,9.59,7476,0.82
14,F,11.64,9938,0.79
14,A,12.63,6880,-0.04
14,E,15.73,7696,0.77
14,F,17.23,9758,0.75
14,C,18.42,6780,0.01
14,G,20.31,7496,0.72
14,D,22.06,7716,0.6
14,E,24.11,7616,0.68
14,C,25.58,6900,-0.02
14,A,27.31,6720,0.01
14,F,30.38,10078,0.66
14,D,31.22,7556,0.74
14,A,33.4,6840,-0.03
14,B,36.63,6900,-0.02
14,X,38.44,6875,0.88
15,C,9.97,6760,0.01
15,B,11.85,6800,-0.01
15,D,13.39,7556,0.75
15,B,15.44,6840,-0.01
15,G,17.45,7476,0.77
15,C,19.72,6880,-0.01
15,D,21.01,7536,0.86
15,E,23.17,7616,0.73
15,F,24.48,9898,0.88
15,B,25.67,6720,0.01
15,E,27.68,7756,0.87
15,F,29.23,9818,0.87
15,A,30.32,6760,0.01
15,X,33.38,6875,0.92
16,G,9.96,7396,0.77
16,C,12.21,6740,0.01
16,G,13.98,7476,0.73
16,E,16.28,7616,0.69
16,F,17.57,9998,0.81
16,C,18.84,6880,-0.01
16,B,20.55,6840,-0.01
16,E,22.46,7676,0.73
16,B,23.9,6780,0.0
16,E,25.95,7736,0.89
16,A,27.25,6760,0.01
16,B,30.4,6880,-0.02
16,E,32.42,7596,0.67
16,G,33.85,7516,0.73
16,B,36.17,6840,-0.01
16,A,38.18,6860,-0.04
16,E,41.22,7576,0.66
16,G,42.57,7596,0.56
16,B,44.96,6760,0.0
16,A,47.03,6800,-0.0
16,G,50.18,7476,0.81
16,A,52.33,6820,0.0
16,B,55.47,6800,0.0
16,A,57.44,6780,0.0
16,G,60.55,7496,0.7
16,E,62.69,7676,0.78
16,F,64.05,9958,0.83
16,A,65.09,6860,-0.04
16,E,68.11,7656,0.76
16,F,69.56,9958,0.79
16,A,70.58,6740,0.01
16,D,73.26,7576,0.83
16,E,75.29,7756,0.8
16,A,76.85,6720,0.01
16,C,79.93,6880,-0.01
16,E,81.61,7756,0.87
16,G,83.14,7476,0.83
16,A,85.3,6860,-0.03
16,E,88.58,7516,0.55
16,G,90.06,7596,0.55
16,C,92.21,6720,0.01
16,E,94.05,7636,0.72
16,B,95.46,6860,-0.01
16,D,97.0,7676,0.66
16,G,99.15,7556,0.62
16,C,101.35,6880,-0.01
16,F,103.06,9818,0.88
16,X,104.03,6875,0.89
17,C,9.95,6700,0.02
17,F,11.76,9818,0.8
17,B,12.81,6700,0.01
17,C,14.91,6760,0.01
