Sequence,Signal Type,Time (s),Frequency (Hz),Correlation Value
0,C,9.98,6780,0.01
0,A,11.84,6720,0.02
0,C,15.16,6760,0.01
0,A,16.87,6700,0.02
0,G,20.1,7596,0.57
0,B,22.48,6800,-0.01
0,E,24.37,7736,0.87
0,A,25.9,6880,-0.04
0,B,29.1,6780,0.0
0,D,30.73,7716,0.63
0,G,32.97,7476,0.78
0,A,35.26,6840,-0.03
0,C,38.46,6820,0.0
0,G,40.38,7416,0.88
0,E,42.61,7636,0.76
0,B,43.94,6740,0.0
0,D,45.43,7456,0.75
0,B,47.49,6800,-0.01
0,F,49.57,9858,0.93
0,D,50.31,7656,0.68
0,A,52.38,6720,0.01
0,E,55.67,7696,0.88
0,C,57.16,6780,0.0
0,F,59.08,9778,0.83
0,B,60.36,6780,0.0
0,A,62.2,6840,-0.03
0,B,65.37,6740,0.01
0,A,67.27,6760,0.01
0,G,70.42,7356,0.83
0,X,72.55,6875,0.93
1,B,9.98,6820,-0.01
1,A,12.0,6880,-0.04
1,D,14.82,7496,0.78
1,B,17.1,6720,0.01
1,D,18.58,7776,0.57
1,B,20.63,6840,-0.01
1,G,22.66,7516,0.74
1,C,24.82,6860,-0.01
1,B,26.51,6800,-0.01
1,E,28.4,7736,0.83
1,G,29.75,7556,0.57
1,C,31.96,6720,0.01
1,B,33.71,6740,0.01
1,E,35.6,7576,0.65
1,A,37.03,6860,-0.04
1,E,40.21,7756,0.82
1,G,41.73,7336,0.8
1,A,44.04,6840,-0.04
1,G,47.06,7356,0.8
1,D,49.03,7496,0.8
1,A,51.28,6740,0.01
1,C,54.4,6720,0.01
1,B,56.09,6860,-0.01
1,A,58.05,6840,-0.03
1,B,61.14,6760,0.0
1,G,63.21,7476,0.83
1,A,65.57,6820,0.0
1,D,68.24,7456,0.78
1,F,70.34,10018,0.78
1,G,71.42,7416,0.76
1,F,73.63,9798,0.81
1,D,74.26,7756,0.6
1,G,76.49,7416,0.82
1,A,78.87,6780,0.0
1,F,82.13,9958,0.86
1,A,83.26,6780,0.0
1,C,86.55,6740,0.01
1,G,88.49,7516,0.66
1,E,90.85,7756,0.87
1,D,92.02,7556,0.79
1,A,94.23,6760,0.01
1,B,97.4,6740,0.01
1,X,99.21,6875,0.92
2,G,9.96,7536,0.66
2,A,12.17,6840,-0.03
2,F,15.39,9778,0.83
2,B,16.42,6700,0.01
2,F,18.34,9778,0.88
2,B,19.51,6900,-0.02
2,A,21.37,6780,0.0
2,E,24.51,7516,0.55
2,C,26.09,6800,-0.01
2,D,27.56,7596,0.78
2,X,29.56,6875,0.87
3,B,9.99,6840,-0.01
3,C,12.06,6740,0.01
3,D,13.56,7576,0.87
3,F,15.73,10038,0.75
3,E,16.76,7536,0.59
3,D,17.84,7756,0.58
3,C,19.97,6840,-0.01
3,F,21.85,9878,0.82
3,A,23.08,6760,0.01
3,B,26.23,6800,-0.01
3,C,28.19,6780,0.0
3,D,29.54,7516,0.84
3,G,31.66,7496,0.69
3,B,33.81,6760,0.01
3,D,35.3,7736,0.61
3,F,37.51,9798,0.79
3,A,38.52,6840,-0.03
3,C,41.63,6840,0.0
3,F,43.36,9898,0.9
3,C,44.53,6880,-0.01
3,D,46.03,7676,0.69
3,G,48.12,7476,0.82
3,D,49.99,7496,0.86
3,F,52.21,9798,0.89
3,D,52.86,7496,0.77
3,E,55.05,7796,0.85
3,X,56.32,6875,0.95
4,D,9.58,7676,0.69
4,C,11.68,6760,0.01
4,B,13.48,6880,-0.01
4,E,15.38,7776,0.76
4,D,16.53,7576,0.79
4,G,18.56,7396,0.72
4,F,20.72,9998,0.79
4,G,21.96,7416,0.86
4,F,24.28,9838,0.88
4,C,25.55,6880,-0.01
4,D,26.82,7476,0.81
4,E,28.9,7576,0.63
4,G,30.41,7596,0.55
4,E,32.54,7636,0.72
4,B,34.1,6760,0.01
4,A,35.99,6720,0.01
4,X,39.07,6875,0.86
5,F,9.92,9818,0.88
5,B,10.98,6740,0.01
5,F,12.92,9798,0.83
5,A,14.2,6880,-0.04
5,F,17.18,9978,0.8
5,E,18.19,7756,0.89
5,G,19.69,7476,0.81
5,A,22.05,6720,0.01
5,D,24.98,7496,0.8
5,E,27.13,7556,0.6
5,F,28.56,9878,0.92
5,D,29.27,7756,0.6
5,F,31.32,9898,0.86
5,A,32.58,6720,0.01
5,G,35.68,7416,0.83
5,E,37.87,7796,0.78
5,C,39.26,6700,0.01
5,B,41.06,6720,0.01
5,A,42.96,6760,0.01
5,D,45.65,7456,0.71
5,C,47.85,6800,0.0
5,D,49.41,7596,0.8
5,E,51.54,7756,0.83
5,B,53.0,6880,-0.02
5,G,54.89,7376,0.79
5,A,57.28,6760,0.01
5,C,60.48,6820,-0.01
5,E,62.12,7796,0.84
5,D,63.18,7536,0.84
5,E,65.32,7816,0.79
5,B,66.69,6780,0.0
5,E,68.52,7656,0.77
5,A,70.07,6900,-0.04
5,B,73.18,6860,-0.01
5,A,75.03,6740,0.01
5,G,78.28,7396,0.88
5,F,80.4,9878,0.92
5,X,81.39,6875,0.95
6,F,9.98,9778,0.8
6,E,11.07,7596,0.69
6,G,12.45,7376,0.84
6,A,14.69,6880,-0.04
6,F,17.84,10018,0.78
6,G,18.92,7396,0.85
6,F,21.04,9898,0.81
6,B,22.19,6880,-0.02
6,C,24.18,6760,0.01
6,E,25.95,7636,0.75
6,F,27.42,9958,0.81
6,E,28.66,7716,0.88
6,F,29.95,9938,0.82
6,G,30.94,7456,0.8
6,C,33.18,6800,0.0
6,F,34.88,10038,0.75
6,C,35.96,6780,0.01
6,G,37.81,7356,0.86
6,D,39.59,7616,0.77
6,C,41.62,6880,-0.01
6,G,43.43,7556,0.65
6,A,45.62,6760,0.01
6,G,48.73,7356,0.84
6,D,50.5,7536,0.8
6,A,52.65,6820,0.0
6,B,55.9,6820,-0.01
6,F,57.84,9878,0.89
6,E,58.88,7696,0.8
6,X,60.16,6875,0.95
7,A,9.96,6700,0.02
7,B,13.18,6800,0.0
7,D,14.71,7616,0.79
7,E,16.89,7576,0.65
7,D,17.91,7556,0.79
7,C,20.1,6840,-0.01
7,F,21.8,9878,0.89
7,E,22.86,7696,0.82
7,G,24.29,7356,0.82
7,B,26.45,6740,0.01
7,D,28.15,7716,0.61
7,C,30.16,6740,0.01
7,G,31.91,7476,0.8
7,B,34.24,6780,0.01
7,A,36.31,6760,0.01
7,B,39.46,6820,-0.01
7,A,41.37,6840,-0.03
7,G,44.44,7336,0.79
7,C,46.6,6820,0.0
7,F,48.36,9998,0.81
7,C,49.42,6760,0.0
7,A,51.22,6780,0.0
7,G,54.29,7516,0.72
7,A,56.53,6800,0.0
7,G,59.58,7516,0.71
7,D,61.41,7556,0.8
7,F,63.67,10078,0.66
7,A,64.9,6840,-0.03
7,F,68.09,9958,0.82
7,B,69.17,6740,0.01
7,E,71.14,7576,0.64
7,X,72.43,6875,0.94
8,D,9.58,7656,0.71
8,A,11.75,6720,0.01
8,B,14.98,6860,-0.01
8,G,16.79,7556,0.62
8,C,19.13,6720,0.01
8,F,20.85,9778,0.83
8,C,21.85,6800,0.0
8,F,23.63,9878,0.82
8,A,24.84,6700,0.02
8,G,28.16,7416,0.83
8,C,30.39,6760,0.01
8,F,32.14,9838,0.92
8,B,33.34,6880,-0.01
8,A,35.33,6840,-0.03
8,G,38.38,7496,0.73
8,A,40.54,6900,-0.04
8,C,43.79,6860,-0.01
8,E,45.51,7656,0.8
8,X,46.78,6875,0.86
9,E,9.56,7656,0.74
9,A,11.11,6820,0.0
9,B,14.33,6760,0.0
9,C,16.39,6900,-0.01
9,F,18.15,9878,0.86
9,A,19.27,6900,-0.04
9,E,22.45,7796,0.8
9,D,23.36,7576,0.79
9,E,25.46,7736,0.82
9,G,26.94,7416,0.88
9,X,29.06,6875,0.93
10,B,10.0,6840,-0.01
10,G,12.02,7596,0.56
10,E,14.3,7796,0.87
10,A,15.68,6840,-0.03
10,G,18.79,7516,0.71
10,D,20.74,7476,0.82
10,A,22.88,6780,0.01
10,E,25.94,7576,0.65
10,B,27.27,6900,-0.02
10,C,29.28,6820,-0.01
10,D,30.68,7756,0.59
10,B,32.8,6900,-0.01
10,G,34.67,7516,0.67
10,E,36.79,7756,0.88
